MAGNET_X, TEMP_HUM_timestamp, MAGNET_Z, MAGNET_Y, ACC_Y, ACC_X, GYRO_Y_timestamp, ACC_Z, PRESSURE, MAGNET_Y_timestamp, GYRO_X_timestamp, ACC_Y_timestamp, TEMP_PRESS, TEMP_PRESS_timestamp, TEMP_HUM, HUMIDITY, MAGNET_Z_timestamp, PRESSURE_timestamp, MAGNET_X_timestamp, ACC_X_timestamp, GYRO_Z_timestamp, HUMIDITY_timestamp, assetName, ACC_Z_timestamp, GYRO_X, GYRO_Y, GYRO_Z
3.2531333, 1645622617763, 14.405257, -28.687513, 0.0070309318, 0.16218545, 1645622617763, 0.9889218, 998.0029, 1645622617763, 1645622617763, 1645622617763, 34.69583, 1645622617763, 36.226715, 20.778072, 1645622617763, 1645622617763, 1645622617763, 1645622617763, 1645622617763, 1645622617763, asset-sensehat, 1645622617763, -0.44694576, -0.07290199, 0.044905454
3.3947382, 1645622618006, 14.234691, -28.681177, -0.058253214, 0.16097148, 1645622618006, 0.9916025, 998.03687, 1645622618006, 1645622618006, 1645622618006, 34.697918, 1645622618006, 36.226715, 20.849396, 1645622618006, 1645622618006, 1645622618006, 1645622618006, 1645622618006, 1645622618006, asset-sensehat, 1645622618006, 0.34554213, 0.07931607, -0.043072857
3.2619987, 1645622618224, 13.927697, -28.783163, 0.009697837, 0.143976, 1645622618224, 1.0547199, 998.0305, 1645622618224, 1645622618224, 1645622618224, 34.702084, 1645622618224, 36.245033, 20.870792, 1645622618224, 1645622618224, 1645622618224, 1645622618224, 1645622618224, 1645622618224, asset-sensehat, 1645622618224, 0.37119848, 0.08970078, -0.0387968
3.2146277, 1645622618442, 14.03761, -28.709988, 0.009940282, 0.1602431, 1645622618442, 0.9852663, 998.01685, 1645622618442, 1645622618442, 1645622618442, 34.70625, 1645622618442, 36.245033, 20.795902, 1645622618442, 1645622618442, 1645622618442, 1645622618442, 1645622618442, 1645622618442, asset-sensehat, 1645622618442, -0.30950108, -0.075650886, 0.040629394
3.329693, 1645622618674, 14.168354, -28.714535, 0.008243161, 0.15975751, 1645622618674, 0.98380417, 997.99634, 1645622618673, 1645622618673, 1645622618673, 34.708332, 1645622618673, 36.226715, 21.059795, 1645622618673, 1645622618673, 1645622618673, 1645622618673, 1645622618674, 1645622618673, asset-sensehat, 1645622618674, 0.31041738, 0.07839978, -0.042156555
3.3368852, 1645622618911, 14.050393, -28.652147, 0.010425175, 0.16776967, 1645622618911, 0.94968665, 998.03955, 1645622618911, 1645622618911, 1645622618911, 34.71042, 1645622618911, 36.245033, 20.863659, 1645622618911, 1645622618911, 1645622618911, 1645622618911, 1645622618911, 1645622618911, asset-sensehat, 1645622618911, -0.26307532, -0.07045853, 0.046738043
3.324893, 1645622619129, 14.228192, -28.59704, 0.009212945, 0.15660122, 1645622619129, 0.98624116, 998.0359, 1645622619129, 1645622619129, 1645622619129, 34.714584, 1645622619129, 36.245033, 20.845829, 1645622619129, 1645622619129, 1645622619129, 1645622619129, 1645622619129, 1645622619129, asset-sensehat, 1645622619129, 0.23405921, 0.0692368, -0.052846696
3.3272789, 1645622619347, 14.458599, -28.620419, 0.0072733774, 0.15514445, 1645622619347, 0.99428314, 998.0149, 1645622619347, 1645622619347, 1645622619347, 34.716667, 1645622619347, 36.245033, 20.877924, 1645622619347, 1645622619347, 1645622619347, 1645622619347, 1645622619347, 1645622619347, asset-sensehat, 1645622619347, -0.24200046, -0.07687262, 0.05895535
3.2788687, 1645622619586, 14.535534, -28.64693, 0.0070309318, 0.15975751, 1645622619586, 0.9894092, 998.0603, 1645622619586, 1645622619586, 1645622619586, 34.725, 1645622619586, 36.26336, 20.767376, 1645622619586, 1645622619586, 1645622619586, 1645622619586, 1645622619586, 1645622619586, asset-sensehat, 1645622619586, 0.3003381, 0.07259656, -0.060787946
3.4130304, 1645622619842, 14.395508, -28.497406, 0.0033942428, 0.16194265, 1645622619842, 0.98429155, 998.0371, 1645622619842, 1645622619842, 1645622619842, 34.729168, 1645622619842, 36.26336, 20.842262, 1645622619842, 1645622619841, 1645622619841, 1645622619842, 1645622619842, 1645622619842, asset-sensehat, 1645622619842, -0.36386806, -0.07229113, 0.06109338
3.3631253, 1645622620079, 14.248771, -28.412857, 0.006061148, 0.1602431, 1645622620079, 0.9857537, 997.9529, 1645622620079, 1645622620079, 1645622620079, 34.735416, 1645622620079, 36.281677, 20.724583, 1645622620079, 1645622620079, 1645622620079, 1645622620079, 1645622620079, 1645622620079, asset-sensehat, 1645622620079, 0.3531779, 0.06954224, -0.06139881
3.4888687, 1645622620296, 14.3415785, -28.542875, 0.0067884857, 0.15465887, 1645622620296, 0.9908714, 998.0112, 1645622620296, 1645622620296, 1645622620296, 34.739582, 1645622620296, 36.31832, 20.77094, 1645622620296, 1645622620296, 1645622620296, 1645622620296, 1645622620296, 1645622620296, asset-sensehat, 1645622620296, -0.36386806, -0.07168026, 0.060787946
3.6394289, 1645622620514, 14.510659, -28.611568, 0.008243161, 0.16291381, 1645622620514, 0.9691824, 998.05005, 1645622620514, 1645622620514, 1645622620514, 34.74375, 1645622620514, 36.281677, 20.863659, 1645622620514, 1645622620514, 1645622620514, 1645622620514, 1645622620514, 1645622620514, asset-sensehat, 1645622620514, 0.40387973, 0.095504016, -0.06323141
3.7974422, 1645622620739, 14.327487, -28.469467, 0.0077582696, 0.15344492, 1645622620739, 0.9721067, 998.1101, 1645622620739, 1645622620739, 1645622620739, 34.74375, 1645622620739, 36.281677, 20.813734, 1645622620739, 1645622620739, 1645622620739, 1645622620739, 1645622620739, 1645622620739, asset-sensehat, 1645622620739, -0.44725117, -0.097336605, 0.06292597
3.6723902, 1645622620990, 14.455363, -28.565092, 0.008485607, 0.15902913, 1645622620990, 0.9930647, 998.03174, 1645622620990, 1645622620990, 1645622620990, 34.75, 1645622620990, 36.31832, 20.760242, 1645622620990, 1645622620990, 1645622620990, 1645622620990, 1645622620990, 1645622620990, asset-sensehat, 1645622620990, 0.49398237, 0.075956315, -0.05895535
3.5422165, 1645622621240, 14.6268835, -28.51739, 0.009212945, 0.15198815, 1645622621240, 0.9716193, 998.06494, 1645622621240, 1645622621240, 1645622621240, 34.75, 1645622621240, 36.300003, 20.67109, 1645622621240, 1645622621240, 1645622621240, 1645622621240, 1645622621240, 1645622621240, asset-sensehat, 1645622621240, 0.595386, 0.06221185, -0.060482513
3.6131363, 1645622621480, 14.773119, -28.503773, 0.00533381, 0.16776967, 1645622621480, 0.99501425, 998.0005, 1645622621480, 1645622621480, 1645622621480, 34.752083, 1645622621480, 36.31832, 20.78164, 1645622621480, 1645622621480, 1645622621480, 1645622621480, 1645622621480, 1645622621480, asset-sensehat, 1645622621480, -0.5129192, -0.075650886, 0.05926078
3.6139452, 1645622621723, 14.77076, -28.500343, 0.0046064723, 0.15878634, 1645622621723, 0.98624116, 997.9656, 1645622621723, 1645622621723, 1645622621723, 34.75833, 1645622621723, 36.281677, 20.977776, 1645622621723, 1645622621723, 1645622621723, 1645622621723, 1645622621723, 1645622621723, asset-sensehat, 1645622621723, 0.50955945, 0.08267584, -0.059871648
